RequestNo, Timestamp, API, LoadingType, FCP(ms), LCP(ms)
90,2026-08-28T10:02:37.385Z,REST,Lazy,32.00,64.00
91,2026-08-28T10:04:08.782Z,GraphQL,Lazy,24.00,60.00
92,2026-08-28T10:04:14.075Z,GraphQL,Lazy,28.00,60.00
93,2026-08-28T10:04:19.454Z,GraphQL,Lazy,20.00,52.00
94,2026-08-28T10:04:24.799Z,GraphQL,Lazy,28.00,64.00
95,2026-08-28T10:04:30.108Z,GraphQL,Lazy,20.00,52.00
96,2026-08-28T10:04:35.398Z,GraphQL,Lazy,32.00,48.00
97,2026-08-28T10:04:40.719Z,GraphQL,Lazy,20.00,52.00
98,2026-08-28T10:04:46.020Z,GraphQL,Lazy,20.00,52.00
99,2026-08-28T10:04:51.325Z,GraphQL,Lazy,20.00,52.00
100,2026-08-28T10:04:56.731Z,GraphQL,Lazy,28.00,60.00
101,2026-08-28T10:05:02.043Z,GraphQL,Lazy,20.00,52.00
102,2026-08-28T10:05:07.333Z,GraphQL,Lazy,32.00,64.00
103,2026-08-28T10:05:12.671Z,GraphQL,Lazy,20.00,52.00
104,2026-08-28T10:05:18.164Z,GraphQL,Lazy,32.00,64.00
105,2026-08-28T10:05:23.491Z,GraphQL,Lazy,20.00,52.00
106,2026-08-28T10:05:28.843Z,GraphQL,Lazy,20.00,52.00
107,2026-08-28T10:05:34.167Z,GraphQL,Lazy,16.00,48.00
108,2026-08-28T10:05:39.473Z,GraphQL,Lazy,16.00,48.00
109,2026-08-28T10:05:44.766Z,GraphQL,Lazy,20.00,52.00
110,2026-08-28T10:05:50.168Z,GraphQL,Lazy,20.00,52.00
111,2026-08-28T10:05:55.491Z,GraphQL,Lazy,20.00,52.00
112,2026-08-28T10:06:00.795Z,GraphQL,Lazy,20.00,52.00
113,2026-08-28T10:06:06.065Z,GraphQL,Lazy,20.00,48.00
114,2026-08-28T10:06:11.385Z,GraphQL,Lazy,20.00,52.00
115,2026-08-28T10:06:16.709Z,GraphQL,Lazy,20.00,52.00
116,2026-08-28T10:06:22.202Z,GraphQL,Lazy,16.00,48.00
117,2026-08-28T10:06:27.516Z,GraphQL,Lazy,20.00,52.00
118,2026-08-28T10:06:32.816Z,GraphQL,Lazy,20.00,52.00
119,2026-08-28T10:06:38.128Z,GraphQL,Lazy,20.00,52.00
120,2026-08-28T10:06:43.436Z,GraphQL,Lazy,16.00,52.00
