RequestNo, Timestamp, API, LoadingType, FCP(ms), LCP(ms)
88,2026-08-16T10:41:59.420Z,GraphQL,Lazy,20.00,164.00
89,2026-08-16T10:42:04.826Z,GraphQL,Lazy,20.00,84.00
90,2026-08-16T10:42:10.219Z,GraphQL,Lazy,20.00,148.00
91,2026-08-16T10:42:15.624Z,GraphQL,Lazy,32.00,164.00
92,2026-08-16T10:42:21.022Z,GraphQL,Lazy,32.00,164.00
93,2026-08-16T10:42:26.433Z,GraphQL,Lazy,20.00,68.00
94,2026-08-16T10:42:32.970Z,GraphQL,Lazy,20.00,1304.00
95,2026-08-16T10:42:39.075Z,GraphQL,Lazy,16.00,620.00
96,2026-08-16T10:42:44.450Z,GraphQL,Lazy,28.00,160.00
97,2026-08-16T10:42:49.751Z,GraphQL,Lazy,16.00,164.00
98,2026-08-16T10:42:55.159Z,GraphQL,Lazy,32.00,164.00
99,2026-08-16T10:43:00.569Z,GraphQL,Lazy,32.00,164.00
100,2026-08-16T10:43:05.968Z,GraphQL,Lazy,20.00,168.00
101,2026-08-16T10:43:11.371Z,GraphQL,Lazy,32.00,84.00
102,2026-08-16T10:43:17.113Z,GraphQL,Lazy,16.00,416.00
103,2026-08-16T10:43:22.806Z,GraphQL,Lazy,32.00,480.00
104,2026-08-16T10:43:29.524Z,GraphQL,Lazy,20.00,1492.00
105,2026-08-16T10:43:35.145Z,GraphQL,Lazy,20.00,508.00
106,2026-08-16T10:43:40.532Z,GraphQL,Lazy,32.00,160.00
107,2026-08-16T10:43:45.895Z,GraphQL,Lazy,20.00,68.00
108,2026-08-16T10:43:51.186Z,GraphQL,Lazy,20.00,64.00
109,2026-08-16T10:43:56.504Z,GraphQL,Lazy,20.00,84.00
110,2026-08-16T10:44:02.635Z,GraphQL,Lazy,20.00,456.00
111,2026-08-16T10:44:08.762Z,GraphQL,Lazy,32.00,540.00
